date,timestamp,account,pnl
2026-06-09,07:44:56,CS6-VET4,0.00
2026-06-09,07:49:56,CS6-VET4,0.00
2026-06-09,07:54:56,CS6-VET4,0.00
2026-06-09,07:59:56,CS6-VET4,0.00
2026-06-09,08:04:56,CS6-VET4,0.00
2026-06-09,08:09:56,CS6-VET4,0.00
2026-06-09,08:14:57,CS6-VET4,0.00
2026-06-09,08:51:40,CS6-VET4,0.00
2026-06-09,08:56:42,CS6-VET4,0.00
2026-06-09,09:01:44,CS6-VET4,0.00
2026-06-09,09:06:47,CS6-VET4,0.00
2026-06-09,09:43:50,CS6-VET4,7.15
2026-06-09,09:48:52,CS6-VET4,10.06
2026-06-09,09:53:55,CS6-VET4,17.56
2026-06-09,09:58:57,CS6-VET4,18.88
2026-06-09,10:03:58,CS6-VET4,19.27
2026-06-09,10:09:01,CS6-VET4,22.02
2026-06-09,10:14:04,CS6-VET4,20.19
2026-06-09,10:19:06,CS6-VET4,18.83
2026-06-09,10:24:08,CS6-VET4,19.78
2026-06-09,10:29:10,CS6-VET4,19.40
2026-06-09,10:34:11,CS6-VET4,17.85
2026-06-09,10:39:53,CS6-VET4,ERR
2026-06-09,10:41:06,CS6-VET4,19.15
2026-06-09,10:46:07,CS6-VET4,23.16
2026-06-09,10:51:10,CS6-VET4,26.16
2026-06-09,10:56:11,CS6-VET4,30.81
2026-06-09,11:01:14,CS6-VET4,33.04
2026-06-09,11:06:16,CS6-VET4,37.37
2026-06-09,11:11:18,CS6-VET4,41.29
2026-06-09,11:16:20,CS6-VET4,43.41
2026-06-09,11:21:22,CS6-VET4,49.34
2026-06-09,11:26:25,CS6-VET4,53.98
2026-06-09,11:31:26,CS6-VET4,54.67
2026-06-09,11:36:28,CS6-VET4,59.06
2026-06-09,11:41:31,CS6-VET4,63.93
2026-06-09,11:46:32,CS6-VET4,67.36
2026-06-09,11:51:35,CS6-VET4,69.05
2026-06-09,11:56:37,CS6-VET4,71.66
2026-06-09,12:01:38,CS6-VET4,75.79
2026-06-09,12:06:41,CS6-VET4,81.42
2026-06-09,12:11:43,CS6-VET4,85.68
2026-06-09,12:16:45,CS6-VET4,87.80
2026-06-09,12:21:47,CS6-VET4,91.56
2026-06-09,12:30:28,CS6-VET4,91.42
2026-06-09,12:35:31,CS6-VET4,95.67
2026-06-09,12:40:35,CS6-VET4,99.90
2026-06-09,12:45:37,CS6-VET4,103.66
2026-06-09,12:50:40,CS6-VET4,107.37
2026-06-09,12:55:41,CS6-VET4,110.15
