date,timestamp,account,pnl
2026-06-05,10:13:32,CS9-,ERR
2026-06-05,10:18:38,CS9-,ERR
2026-06-05,10:23:40,CS9-,ERR
2026-06-05,10:28:44,CS9-,ERR
2026-06-05,10:58:47,CS9-,ERR
2026-06-05,11:03:49,CS9-,ERR
2026-06-05,11:08:52,CS9-,ERR
2026-06-05,11:13:53,CS9-,ERR
2026-06-05,11:23:55,CS9-,ERR
2026-06-05,11:28:57,CS9-,ERR
2026-06-05,11:33:58,CS9-,ERR
2026-06-05,11:39:00,CS9-,ERR
2026-06-05,11:59:01,CS9-,ERR
2026-06-05,12:04:03,CS9-,ERR
2026-06-05,12:09:05,CS9-,ERR
2026-06-05,12:14:07,CS9-,ERR
2026-06-05,12:19:09,CS9-,ERR
2026-06-05,12:24:10,CS9-,ERR
2026-06-05,12:29:12,CS9-,ERR
2026-06-05,12:34:14,CS9-,ERR
2026-06-05,12:39:15,CS9-,ERR
2026-06-05,12:44:18,CS9-,ERR
2026-06-05,12:49:20,CS9-,ERR
2026-06-05,12:54:22,CS9-,ERR
2026-06-05,12:59:24,CS9-,ERR
2026-06-05,13:14:25,CS9-,ERR
2026-06-05,13:19:27,CS9-,ERR
2026-06-05,13:24:28,CS9-,ERR
2026-06-05,13:29:30,CS9-,ERR
2026-06-05,15:09:34,CS9-,ERR
2026-06-05,15:14:36,CS9-,ERR
2026-06-05,15:19:38,CS9-,ERR
2026-06-05,15:24:43,CS9-,ERR
2026-06-05,15:29:46,CS9-,ERR
2026-06-05,15:34:50,CS9-,ERR
2026-06-05,15:39:54,CS9-,ERR
2026-06-05,15:44:58,CS9-,ERR
2026-06-05,15:50:01,CS9-,ERR
2026-06-05,15:55:05,CS9-,ERR
2026-06-05,17:00:11,CS9-,ERR
2026-06-05,17:05:12,CS9-,ERR
2026-06-05,17:10:15,CS9-,ERR
2026-06-05,17:15:17,CS9-,ERR
2026-06-05,09:04:29,CS9-,ERR
