date,timestamp,account,pnl
2026-06-23,14:43:21,CS5-GAB5,154.85
2026-06-24,14:43:21,CS5-GAB5,154.85
2026-06-24,14:48:24,CS5-GAB5,159.22
2026-06-24,14:53:28,CS5-GAB5,162.09
2026-06-24,14:58:31,CS5-GAB5,166.45
2026-06-24,15:03:37,CS5-GAB5,170.34
2026-06-24,15:08:41,CS5-GAB5,173.14
2026-06-24,15:13:46,CS5-GAB5,176.23
2026-06-24,15:18:52,CS5-GAB5,179.10
2026-06-24,15:23:57,CS5-GAB5,182.28
2026-06-24,15:29:02,CS5-GAB5,184.69
2026-06-24,15:34:06,CS5-GAB5,187.51
2026-06-24,15:39:10,CS5-GAB5,191.17
2026-06-24,15:44:14,CS5-GAB5,192.26
2026-06-24,15:49:19,CS5-GAB5,194.88
2026-06-24,15:54:23,CS5-GAB5,198.67
2026-06-24,15:59:27,CS5-GAB5,200.76
2026-06-24,07:50:34,CS5-GAB5,0.00
2026-06-24,07:55:37,CS5-GAB5,0.00
2026-06-24,08:00:39,CS5-GAB5,0.00
2026-06-25,14:43:21,CS5-GAB5,154.85
2026-06-25,14:48:24,CS5-GAB5,159.22
2026-06-25,14:53:28,CS5-GAB5,162.09
2026-06-25,14:58:31,CS5-GAB5,166.45
2026-06-25,15:03:37,CS5-GAB5,170.34
2026-06-25,15:08:41,CS5-GAB5,173.14
2026-06-25,15:13:46,CS5-GAB5,176.23
2026-06-25,15:18:52,CS5-GAB5,179.10
2026-06-25,15:23:57,CS5-GAB5,182.28
2026-06-25,15:29:02,CS5-GAB5,184.69
2026-06-25,15:34:06,CS5-GAB5,187.51
2026-06-25,15:39:10,CS5-GAB5,191.17
2026-06-25,15:44:14,CS5-GAB5,192.26
2026-06-25,15:49:19,CS5-GAB5,194.88
2026-06-25,15:54:23,CS5-GAB5,198.67
2026-06-25,15:59:27,CS5-GAB5,200.76
2026-06-25,07:50:34,CS5-GAB5,0.00
2026-06-25,07:55:37,CS5-GAB5,0.00
2026-06-25,08:00:39,CS5-GAB5,0.00
2026-06-25,08:05:41,CS5-GAB5,0.00
2026-06-25,08:10:44,CS5-GAB5,0.00
2026-06-25,08:15:47,CS5-GAB5,0.00
2026-06-25,08:20:49,CS5-GAB5,0.00
2026-06-25,08:25:52,CS5-GAB5,0.00
2026-06-25,08:30:54,CS5-GAB5,0.00
2026-06-25,08:35:56,CS5-GAB5,0.00
2026-06-25,08:40:59,CS5-GAB5,0.00
2026-06-25,08:46:01,CS5-GAB5,0.00
2026-06-25,08:51:04,CS5-GAB5,0.00
