timestamp,account,pnl
08:58:42,CS10-GAB4,ERR
09:03:45,CS10-GAB4,0.00
09:08:47,CS10-GAB4,0.00
09:13:49,CS10-GAB4,0.00
09:18:52,CS10-GAB4,0.00
09:23:54,CS10-GAB4,0.00
09:28:57,CS10-GAB4,0.00
09:33:59,CS10-GAB4,0.00
09:39:02,CS10-GAB4,3.21
09:44:03,CS10-GAB4,7.56
09:49:05,CS10-GAB4,9.81
09:54:08,CS10-GAB4,11.36
09:59:10,CS10-GAB4,13.68
10:04:12,CS10-GAB4,14.44
10:09:15,CS10-GAB4,19.28
10:14:17,CS10-GAB4,22.41
10:19:20,CS10-GAB4,26.09
10:24:22,CS10-GAB4,32.16
10:29:24,CS10-GAB4,33.47
10:34:27,CS10-GAB4,33.35
10:39:29,CS10-GAB4,36.26
10:44:32,CS10-GAB4,41.72
10:49:35,CS10-GAB4,44.31
10:54:38,CS10-GAB4,47.75
10:59:41,CS10-GAB4,52.22
11:04:43,CS10-GAB4,57.66
11:09:47,CS10-GAB4,63.64
11:14:48,CS10-GAB4,66.62
11:19:51,CS10-GAB4,69.73
