timestamp,account,pnl
07:32:07,VET4,0.00
07:37:07,VET4,0.00
07:38:45,CS4-VET3,0.00
07:39:17,CS4-VET2,0.00
07:40:58,CS4-VET3,0.00
07:45:58,CS4-VET3,0.00
07:50:58,CS4-VET3,0.00
07:55:58,CS4-VET3,0.00
08:00:58,CS4-VET3,0.00
08:05:59,CS4-VET3,0.00
08:10:59,CS4-VET3,0.00
08:15:59,CS4-VET3,0.00
08:43:08,CS4-VET3,0.00
08:48:11,CS4-VET3,0.00
08:53:13,CS4-VET3,0.00
08:58:15,CS4-VET3,0.00
09:03:18,CS4-VET3,0.00
09:43:30,CS4-VET3,10.65
09:48:31,CS4-VET3,12.03
09:53:34,CS4-VET3,19.61
09:58:36,CS4-VET3,23.33
10:03:39,CS4-VET3,26.79
10:08:41,CS4-VET3,24.67
10:13:44,CS4-VET3,24.99
10:18:46,CS4-VET3,24.89
10:23:49,CS4-VET3,23.61
10:28:52,CS4-VET3,24.47
10:33:54,CS4-VET3,23.36
10:38:57,CS4-VET3,25.44
10:43:59,CS4-VET3,31.18
10:49:02,CS4-VET3,35.23
10:54:05,CS4-VET3,41.64
10:59:08,CS4-VET3,48.27
11:04:10,CS4-VET3,51.40
11:09:13,CS4-VET3,57.89
11:14:15,CS4-VET3,59.98
11:19:18,CS4-VET3,64.70
11:24:20,CS4-VET3,69.49
11:29:22,CS4-VET3,70.91
11:34:25,CS4-VET3,75.67
11:39:28,CS4-VET3,78.91
11:44:31,CS4-VET3,81.54
11:49:33,CS4-VET3,82.53
11:54:36,CS4-VET3,87.04
11:59:39,CS4-VET3,90.79
12:04:42,CS4-VET3,94.41
12:09:44,CS4-VET3,98.79
12:14:47,CS4-VET3,102.05
12:19:49,CS4-VET3,104.72
12:24:52,CS4-VET3,108.42
12:29:54,CS4-VET3,112.78
12:34:57,CS4-VET3,116.98
12:40:00,CS4-VET3,120.17
12:45:03,CS4-VET3,126.05
12:50:06,CS4-VET3,129.66
12:55:09,CS4-VET3,133.29
13:00:12,CS4-VET3,136.04
13:05:15,CS4-VET3,139.17
13:10:18,CS4-VET3,142.65
13:15:21,CS4-VET3,145.29
13:20:23,CS4-VET3,150.19
13:25:26,CS4-VET3,152.34
13:30:27,CS4-VET3,156.60
13:35:30,CS4-VET3,158.60
13:40:33,CS4-VET3,161.23
13:45:36,CS4-VET3,164.11
13:50:38,CS4-VET3,167.34
13:55:42,CS4-VET3,169.73
14:00:45,CS4-VET3,172.10
14:05:48,CS4-VET3,173.60
14:10:51,CS4-VET3,175.47
14:15:54,CS4-VET3,180.24
14:20:58,CS4-VET3,183.48
14:26:01,CS4-VET3,187.11
14:31:04,CS4-VET3,190.66
14:36:07,CS4-VET3,193.85
14:41:10,CS4-VET3,195.47
14:46:14,CS4-VET3,198.61
14:51:16,CS4-VET3,202.97
14:56:20,CS4-VET3,207.61
15:01:24,CS4-VET3,209.92
15:06:26,CS4-VET3,213.48
15:11:30,CS4-VET3,215.48
15:16:33,CS4-VET3,217.11
15:21:35,CS4-VET3,218.22
15:26:38,CS4-VET3,220.48
15:31:41,CS4-VET3,224.11
15:36:44,CS4-VET3,227.60
15:41:47,CS4-VET3,229.60
15:46:50,CS4-VET3,230.36
15:51:53,CS4-VET3,231.88
15:56:55,CS4-VET3,231.97
16:01:58,CS4-VET3,231.74
16:07:01,CS4-VET3,231.74
07:38:35,CS4-VET3,0.00
07:43:37,CS4-VET3,0.00
07:48:40,CS4-VET3,0.00
07:53:42,CS4-VET3,0.00
07:58:45,CS4-VET3,0.00
09:21:00,CS4-VET3,0.00
09:26:02,CS4-VET3,0.00
09:31:04,CS4-VET3,0.00
09:36:06,CS4-VET3,0.51
09:41:08,CS4-VET3,4.75
09:46:11,CS4-VET3,8.17
09:51:13,CS4-VET3,11.65
09:56:16,CS4-VET3,18.42
10:01:19,CS4-VET3,19.45
10:06:21,CS4-VET3,22.27
10:11:22,CS4-VET3,27.52
10:16:25,CS4-VET3,30.41
10:21:27,CS4-VET3,37.54
10:26:30,CS4-VET3,45.17
10:31:33,CS4-VET3,50.68
10:36:36,CS4-VET3,55.17
10:41:39,CS4-VET3,60.91
10:46:41,CS4-VET3,68.18
10:51:44,CS4-VET3,74.66
10:56:45,CS4-VET3,78.26
11:01:47,CS4-VET3,84.29
11:06:50,CS4-VET3,89.41
11:11:52,CS4-VET3,92.80
11:16:55,CS4-VET3,94.18
11:21:58,CS4-VET3,98.61
11:27:00,CS4-VET3,99.98
11:32:03,CS4-VET3,103.35
11:37:05,CS4-VET3,105.38
11:42:07,CS4-VET3,109.29
11:47:10,CS4-VET3,110.62
11:52:11,CS4-VET3,114.20
11:57:14,CS4-VET3,120.37
12:02:16,CS4-VET3,121.49
12:16:46,CS4-VET3,122.26
12:21:48,CS4-VET3,125.40
12:26:51,CS4-VET3,129.09
12:31:54,CS4-VET3,130.98
12:36:56,CS4-VET3,132.97
12:41:59,CS4-VET3,136.17
12:47:01,CS4-VET3,139.09
12:52:04,CS4-VET3,143.21
12:57:07,CS4-VET3,145.22
13:02:09,CS4-VET3,148.10
13:07:12,CS4-VET3,150.70
13:12:15,CS4-VET3,154.32
13:17:18,CS4-VET3,156.15
13:22:20,CS4-VET3,160.07
13:27:23,CS4-VET3,164.71
13:32:25,CS4-VET3,166.45
13:37:28,CS4-VET3,169.46
13:42:30,CS4-VET3,172.57
13:47:32,CS4-VET3,175.71
13:52:34,CS4-VET3,178.59
13:57:38,CS4-VET3,180.72
14:02:41,CS4-VET3,182.78
14:07:42,CS4-VET3,185.24
14:12:44,CS4-VET3,187.97
14:17:47,CS4-VET3,189.14
14:22:50,CS4-VET3,191.65
14:27:53,CS4-VET3,193.93
14:32:55,CS4-VET3,195.80
14:37:58,CS4-VET3,196.54
14:43:01,CS4-VET3,199.67
14:48:03,CS4-VET3,202.38
14:53:06,CS4-VET3,206.67
14:58:08,CS4-VET3,209.68
15:03:11,CS4-VET3,211.96
15:08:14,CS4-VET3,214.31
15:13:16,CS4-VET3,215.68
15:18:19,CS4-VET3,217.60
15:23:22,CS4-VET3,217.80
15:28:25,CS4-VET3,218.93
15:33:27,CS4-VET3,219.56
15:38:30,CS4-VET3,220.98
15:43:33,CS4-VET3,222.79
15:48:35,CS4-VET3,223.56
15:53:38,CS4-VET3,224.65
15:58:40,CS4-VET3,224.56
16:03:43,CS4-VET3,224.56
16:08:45,CS4-VET3,224.56
16:13:48,CS4-VET3,224.56
07:30:46,CS4-VET3,0.00
07:35:49,CS4-VET3,0.00
07:40:51,CS4-VET3,0.00
07:56:45,CS4-VET3,0.00
08:01:47,CS4-VET3,0.00
08:06:48,CS4-VET3,0.00
08:11:51,CS4-VET3,0.00
09:24:07,CS4-VET3,0.00
09:29:09,CS4-VET3,0.00
09:34:13,CS4-VET3,0.00
09:39:15,CS4-VET3,1.91
09:44:17,CS4-VET3,4.01
09:49:20,CS4-VET3,8.65
09:54:22,CS4-VET3,11.01
09:59:23,CS4-VET3,17.03
10:04:26,CS4-VET3,21.14
10:09:28,CS4-VET3,25.90
