timestamp,account,pnl
08:11:07,CS2-GAB2,0.00
08:16:07,CS2-GAB2,0.00
08:21:08,CS2-GAB2,0.00
08:26:08,CS2-GAB2,0.00
08:31:08,CS2-GAB2,0.00
08:36:08,CS2-GAB2,0.00
08:41:09,CS2-GAB2,0.00
08:46:09,CS2-GAB2,0.00
08:51:09,CS2-GAB2,0.00
08:55:24,CS2-GAB2,0.00
08:58:48,CS2-GAB2,0.00
08:59:40,CS2-GAB2,ERR
09:01:43,CS2-GAB2,ERR
09:03:27,CS2-GAB2,ERR
09:04:55,CS2-GAB2,0.00
09:09:58,CS2-GAB2,0.00
09:15:00,CS2-GAB2,0.00
09:20:03,CS2-GAB2,0.00
09:25:05,CS2-GAB2,0.00
09:30:08,CS2-GAB2,0.00
09:35:11,CS2-GAB2,0.00
09:40:14,CS2-GAB2,7.41
09:45:16,CS2-GAB2,12.66
09:50:18,CS2-GAB2,15.01
09:55:21,CS2-GAB2,22.02
10:00:23,CS2-GAB2,22.04
10:05:25,CS2-GAB2,24.52
10:10:28,CS2-GAB2,25.64
10:15:30,CS2-GAB2,ERR
10:20:33,CS2-GAB2,24.88
10:25:35,CS2-GAB2,24.63
10:30:38,CS2-GAB2,27.77
10:35:40,CS2-GAB2,30.28
10:40:43,CS2-GAB2,31.96
10:45:46,CS2-GAB2,36.91
10:50:49,CS2-GAB2,42.75
10:55:52,CS2-GAB2,44.15
11:00:55,CS2-GAB2,49.06
11:05:58,CS2-GAB2,54.85
11:11:01,CS2-GAB2,60.33
11:16:03,CS2-GAB2,62.77
11:21:05,CS2-GAB2,67.33
11:26:07,CS2-GAB2,70.47
11:31:10,CS2-GAB2,74.85
11:36:13,CS2-GAB2,77.61
11:41:15,CS2-GAB2,80.50
11:46:18,CS2-GAB2,83.00
11:51:20,CS2-GAB2,86.43
11:56:23,CS2-GAB2,88.72
12:01:26,CS2-GAB2,92.36
12:06:27,CS2-GAB2,96.94
12:11:30,CS2-GAB2,99.61
12:16:33,CS2-GAB2,101.24
12:21:36,CS2-GAB2,103.00
12:25:58,CS2-GAB2,104.71
12:31:00,CS2-GAB2,109.33
12:36:02,CS2-GAB2,112.60
12:41:05,CS2-GAB2,114.68
12:46:09,CS2-GAB2,118.43
12:51:11,CS2-GAB2,121.92
12:56:15,CS2-GAB2,125.36
13:01:17,CS2-GAB2,128.94
13:06:21,CS2-GAB2,130.29
13:11:24,CS2-GAB2,134.54
13:16:26,CS2-GAB2,136.42
13:21:29,CS2-GAB2,139.67
13:26:31,CS2-GAB2,141.81
13:31:34,CS2-GAB2,145.05
13:36:38,CS2-GAB2,145.62
13:41:42,CS2-GAB2,149.58
13:46:46,CS2-GAB2,153.44
13:51:47,CS2-GAB2,157.61
13:56:51,CS2-GAB2,159.73
14:01:54,CS2-GAB2,161.61
14:06:57,CS2-GAB2,164.48
14:12:00,CS2-GAB2,167.61
14:17:02,CS2-GAB2,170.11
14:22:09,CS2-GAB2,173.15
14:27:14,CS2-GAB2,177.25
14:32:18,CS2-GAB2,179.54
14:37:21,CS2-GAB2,181.49
14:42:24,CS2-GAB2,183.96
14:47:28,CS2-GAB2,185.70
14:52:31,CS2-GAB2,187.59
14:57:35,CS2-GAB2,191.00
15:02:41,CS2-GAB2,192.38
15:07:46,CS2-GAB2,193.66
15:12:49,CS2-GAB2,194.79
15:17:51,CS2-GAB2,198.16
15:22:55,CS2-GAB2,202.42
15:27:59,CS2-GAB2,205.54
15:33:02,CS2-GAB2,208.07
15:38:04,CS2-GAB2,208.85
15:43:09,CS2-GAB2,210.86
15:48:13,CS2-GAB2,213.23
15:53:17,CS2-GAB2,213.24
15:58:21,CS2-GAB2,213.49
