timestamp,account,pnl
08:47:26,CS6-VET1,0.00
08:52:27,CS6-VET1,0.00
08:57:30,CS6-VET1,0.00
09:02:32,CS6-VET1,0.00
09:07:35,CS6-VET1,0.00
09:12:37,CS6-VET1,0.00
09:17:40,CS6-VET1,0.00
09:22:44,CS6-VET1,0.00
09:27:47,CS6-VET1,0.00
09:32:49,CS6-VET1,0.00
09:37:52,CS6-VET1,2.14
09:42:54,CS6-VET1,9.27
09:47:56,CS6-VET1,12.76
09:52:59,CS6-VET1,13.77
09:58:01,CS6-VET1,16.19
10:03:03,CS6-VET1,20.59
10:08:06,CS6-VET1,25.08
10:13:08,CS6-VET1,28.93
10:18:10,CS6-VET1,33.89
10:23:13,CS6-VET1,37.97
10:28:15,CS6-VET1,42.80
10:33:18,CS6-VET1,43.28
10:38:20,CS6-VET1,46.26
10:43:23,CS6-VET1,51.41
10:48:25,CS6-VET1,53.30
10:53:28,CS6-VET1,55.41
10:58:30,CS6-VET1,59.77
11:03:34,CS6-VET1,63.49
11:08:37,CS6-VET1,68.66
11:13:40,CS6-VET1,74.66
11:18:43,CS6-VET1,79.85
11:23:45,CS6-VET1,84.93
