timestamp,account,pnl
07:44:56,CS6-VET4,0.00
07:49:56,CS6-VET4,0.00
07:54:56,CS6-VET4,0.00
07:59:56,CS6-VET4,0.00
08:04:56,CS6-VET4,0.00
08:09:56,CS6-VET4,0.00
08:14:57,CS6-VET4,0.00
08:51:40,CS6-VET4,0.00
08:56:42,CS6-VET4,0.00
09:01:44,CS6-VET4,0.00
09:06:47,CS6-VET4,0.00
09:43:50,CS6-VET4,7.15
09:48:52,CS6-VET4,10.06
09:53:55,CS6-VET4,17.56
09:58:57,CS6-VET4,18.88
10:03:58,CS6-VET4,19.27
10:09:01,CS6-VET4,22.02
10:14:04,CS6-VET4,20.19
10:19:06,CS6-VET4,18.83
10:24:08,CS6-VET4,19.78
10:29:10,CS6-VET4,19.40
10:34:11,CS6-VET4,17.85
10:39:53,CS6-VET4,ERR
10:41:06,CS6-VET4,19.15
10:46:07,CS6-VET4,23.16
10:51:10,CS6-VET4,26.16
10:56:11,CS6-VET4,30.81
11:01:14,CS6-VET4,33.04
11:06:16,CS6-VET4,37.37
11:11:18,CS6-VET4,41.29
11:16:20,CS6-VET4,43.41
11:21:22,CS6-VET4,49.34
11:26:25,CS6-VET4,53.98
11:31:26,CS6-VET4,54.67
11:36:28,CS6-VET4,59.06
11:41:31,CS6-VET4,63.93
11:46:32,CS6-VET4,67.36
11:51:35,CS6-VET4,69.05
11:56:37,CS6-VET4,71.66
12:01:38,CS6-VET4,75.79
12:06:41,CS6-VET4,81.42
12:11:43,CS6-VET4,85.68
12:16:45,CS6-VET4,87.80
12:21:47,CS6-VET4,91.56
12:30:28,CS6-VET4,91.42
12:35:31,CS6-VET4,95.67
12:40:35,CS6-VET4,99.90
12:45:37,CS6-VET4,103.66
12:50:40,CS6-VET4,107.37
12:55:41,CS6-VET4,110.15
13:00:44,CS6-VET4,113.77
13:05:47,CS6-VET4,115.90
13:10:49,CS6-VET4,118.79
13:15:51,CS6-VET4,121.53
13:20:53,CS6-VET4,125.04
13:25:56,CS6-VET4,129.91
13:30:58,CS6-VET4,135.56
13:36:00,CS6-VET4,138.31
13:41:03,CS6-VET4,140.28
13:46:05,CS6-VET4,144.68
13:51:08,CS6-VET4,147.95
13:56:11,CS6-VET4,151.06
14:01:13,CS6-VET4,154.81
14:06:17,CS6-VET4,157.68
14:11:19,CS6-VET4,160.37
14:16:22,CS6-VET4,165.81
14:21:25,CS6-VET4,169.33
14:26:27,CS6-VET4,172.31
14:31:30,CS6-VET4,175.69
14:36:32,CS6-VET4,176.94
14:41:35,CS6-VET4,179.73
14:46:37,CS6-VET4,181.72
14:51:39,CS6-VET4,184.10
14:56:42,CS6-VET4,187.97
15:01:44,CS6-VET4,190.11
15:06:45,CS6-VET4,191.35
15:11:47,CS6-VET4,193.97
15:16:50,CS6-VET4,195.59
15:21:54,CS6-VET4,198.91
15:26:56,CS6-VET4,201.82
15:31:58,CS6-VET4,204.69
15:37:00,CS6-VET4,207.56
15:42:02,CS6-VET4,210.19
15:47:05,CS6-VET4,211.43
15:52:07,CS6-VET4,213.44
15:57:09,CS6-VET4,213.44
16:02:11,CS6-VET4,213.06
07:40:52,CS6-VET4,0.00
07:45:55,CS6-VET4,0.00
07:50:58,CS6-VET4,0.00
07:56:00,CS6-VET4,0.00
09:21:40,CS6-VET4,0.00
09:26:43,CS6-VET4,0.00
09:31:46,CS6-VET4,0.00
09:36:47,CS6-VET4,4.23
09:41:50,CS6-VET4,8.38
09:46:52,CS6-VET4,10.72
09:51:55,CS6-VET4,17.05
09:56:59,CS6-VET4,26.15
10:02:00,CS6-VET4,29.57
10:07:03,CS6-VET4,33.88
10:12:06,CS6-VET4,40.36
10:17:09,CS6-VET4,46.89
10:22:12,CS6-VET4,53.14
10:27:14,CS6-VET4,58.03
10:32:17,CS6-VET4,66.16
10:37:19,CS6-VET4,75.89
10:42:22,CS6-VET4,81.57
10:47:24,CS6-VET4,88.36
10:52:26,CS6-VET4,92.61
10:57:29,CS6-VET4,95.23
11:02:33,CS6-VET4,98.75
11:07:36,CS6-VET4,103.28
11:12:39,CS6-VET4,107.63
11:17:42,CS6-VET4,109.88
11:22:45,CS6-VET4,114.38
11:27:48,CS6-VET4,120.02
11:32:52,CS6-VET4,122.40
11:37:55,CS6-VET4,126.16
11:42:57,CS6-VET4,130.90
11:48:00,CS6-VET4,133.66
11:53:03,CS6-VET4,137.17
11:58:06,CS6-VET4,139.66
12:03:09,CS6-VET4,140.30
13:14:17,CS6-VET4,181.04
13:19:19,CS6-VET4,183.54
13:24:22,CS6-VET4,187.54
13:29:25,CS6-VET4,189.91
13:34:29,CS6-VET4,192.56
13:39:31,CS6-VET4,195.57
13:44:34,CS6-VET4,196.82
13:49:37,CS6-VET4,199.16
13:54:40,CS6-VET4,200.75
13:59:43,CS6-VET4,202.01
14:04:45,CS6-VET4,203.28
14:09:48,CS6-VET4,204.64
14:14:51,CS6-VET4,206.76
14:19:54,CS6-VET4,209.14
14:24:56,CS6-VET4,210.89
14:29:59,CS6-VET4,214.29
14:35:02,CS6-VET4,216.54
14:40:05,CS6-VET4,220.04
14:45:08,CS6-VET4,222.31
14:50:10,CS6-VET4,223.80
14:55:14,CS6-VET4,226.79
15:00:16,CS6-VET4,227.54
15:05:19,CS6-VET4,229.86
15:10:23,CS6-VET4,232.49
15:15:25,CS6-VET4,233.24
15:20:29,CS6-VET4,235.94
